onset,midi_number,morphetic_number,duration,staff_number,measure,type
-0.5,67,,0.5,0,1,a
0.0,72,,2.0,0,1,a
0.5,67,,0.5,0,1,
0.5,64,,0.5,0,1,a
1.0,62,,0.5,0,1,
1.0,65,,0.5,0,1,a
1.5,64,,0.5,0,1,
1.5,60,,0.5,0,1,a
2.0,77,,2.0,0,1,a
2.5,59,,0.5,0,1,
2.5,62,,0.5,0,1,a
3.0,57,,0.5,0,1,
3.0,60,,0.5,0,1,a
3.5,59,,0.5,0,1,
3.5,55,,0.5,0,1,a
4.0,76,,0.25,0,1,a
4.0,60,,0.5,0,1,a
4.25,79,,0.25,0,1,a
4.5,72,,0.5,0,1,
4.5,77,,0.25,0,1,a
4.75,76,,0.25,0,1,a
5.0,81,,0.25,0,1,
5.0,65,,0.5,0,1,a
5.25,77,,0.25,0,1,
5.5,74,,0.25,0,1,
5.5,66,,0.5,0,1,a
5.75,72,,0.25,0,1,
6.0,71,,0.25,0,1,
6.0,67,,1.0,0,1,a
6.25,72,,0.25,0,1,
6.5,74,,0.25,0,1,a
6.75,71,,0.25,0,1,a
7.0,69,,0.25,0,1,
7.0,55,,1.0,0,1,a
7.25,67,,0.25,0,1,
7.5,66,,0.25,0,1,a
7.75,67,,0.25,0,1,a
8.0,60,,2.0,0,1,a
8.5,55,,0.5,0,1,
8.5,52,,0.5,0,1,a
9.0,53,,0.5,0,1,
9.0,50,,0.5,0,1,a
9.5,48,,0.5,0,1,
9.5,52,,0.5,0,1,a
10.0,65,,2.0,0,1,a
10.5,47,,0.5,0,1,
10.5,50,,0.5,0,1,
11.0,48,,0.5,0,1,
11.0,45,,0.5,0,1,
11.5,47,,0.5,0,1,
11.5,43,,0.5,0,1,a
12.0,64,,0.25,0,1,
12.0,48,,0.5,0,1,a
12.25,67,,0.25,0,1,
12.5,72,,0.25,0,1,
12.5,52,,0.5,0,1,a
12.75,67,,0.25,0,1,
13.0,66,,0.25,0,1,
13.0,50,,0.5,0,1,a
13.25,67,,0.25,0,1,
13.5,65,,0.25,0,1,
13.5,47,,0.5,0,1,a
13.75,67,,0.25,0,1,
14.0,64,,0.25,0,1,
14.0,48,,0.5,0,1,a
14.25,67,,0.25,0,1,
14.5,72,,0.25,0,1,
14.5,52,,0.5,0,1,a
14.75,67,,0.25,0,1,
15.0,66,,0.25,0,1,
15.0,50,,0.5,0,1,a
15.25,67,,0.25,0,1,
15.5,65,,0.25,0,1,
15.5,47,,0.5,0,1,a
15.75,67,,0.25,0,1,
16.0,64,,0.25,0,1,
16.0,48,,0.5,0,1,a
16.25,67,,0.25,0,1,
16.5,60,,0.25,0,1,
16.5,52,,0.5,0,1,a
16.75,64,,0.25,0,1,
17.0,53,,0.5,0,1,a
17.0,62,,0.25,0,1,
17.25,65,,0.25,0,1,
17.5,55,,0.5,0,1,a
17.5,59,,0.25,0,1,a
17.75,62,,0.25,0,1,a
18.0,48,,0.5,0,1,a
18.0,60,,1.0,0,1,a
18.5,43,,0.5,0,1,a
19.0,36,,1.0,0,1,a
19.5,67,,0.5,0,1,a
20.0,72,,0.25,0,1,
20.0,64,,1.0,0,1,
20.0,60,,1.0,0,1,
20.0,67,,1.0,0,1,a
20.25,67,,0.25,0,1,a
20.5,76,,0.25,0,1,
20.75,72,,0.25,0,1,a
21.0,79,,0.25,0,1,a
21.25,78,,0.25,0,1,a
21.5,79,,0.25,0,1,a
21.75,76,,0.25,0,1,a
22.0,62,,1.0,0,1,
22.0,76,,0.25,0,1,
22.0,59,,1.0,0,1,
22.0,67,,1.0,0,1,a
22.25,74,,0.25,0,1,
22.5,73,,0.25,0,1,a
22.75,74,,0.25,0,1,
23.0,73,,0.25,0,1,
23.25,74,,0.25,0,1,
23.5,73,,0.25,0,1,
23.75,74,,0.25,0,1,a
24.0,79,,0.25,0,1,
24.0,59,,1.0,0,1,
24.0,67,,1.0,0,1,
24.0,62,,1.0,0,1,a
24.25,81,,0.25,0,1,
24.5,83,,0.25,0,1,a
24.75,78,,0.25,0,1,
25.0,79,,0.25,0,1,
25.25,74,,0.25,0,1,
25.5,76,,0.25,0,1,
