onset,midi_number,morphetic_number,duration,staff_number,measure,type
1.0,53,,1.0,4,1,
1.0,57,,1.0,3,1,
1.0,60,,1.0,1,1,
1.0,72,,1.0,0,1,
2.0,53,,1.0,4,1,
2.0,57,,1.0,3,1,
2.0,60,,1.0,2,1,
2.0,65,,1.0,1,1,
2.0,72,,1.0,0,1,
3.0,50,,1.0,4,1,
3.0,55,,0.5,3,1,
3.0,59,,1.0,2,1,
3.0,65,,1.0,1,1,
3.0,74,,1.0,0,1,
3.5,53,,0.5,3,1,
4.0,48,,3.0,4,1,
4.0,55,,1.5,3,1,
4.0,60,,3.0,2,1,
4.0,64,,1.5,1,1,
4.0,76,,3.0,0,1,
5.5,53,,0.5,3,1,
5.5,65,,0.5,1,1,
6.0,52,,1.0,3,1,
6.0,67,,1.0,1,1,
7.0,45,,1.0,4,1,
7.0,48,,1.0,3,1,
7.0,60,,1.0,2,1,
7.0,69,,1.0,1,1,
7.0,77,,1.0,0,1,
8.0,46,,1.5,4,1,
8.0,50,,1.5,3,1,
8.0,58,,1.0,2,1,
8.0,65,,1.5,1,1,
8.0,74,,1.5,0,1,
9.0,58,,1.0,2,1,
9.5,48,,0.5,4,1,
9.5,52,,0.5,3,1,
9.5,64,,0.5,1,1,
9.5,72,,0.5,0,1,
10.0,50,,1.0,4,1,
10.0,53,,0.5,3,1,
10.0,62,,1.0,1,1,
10.0,65,,1.0,2,1,
10.0,70,,1.0,0,1,
10.5,55,,0.5,3,1,
11.0,53,,1.0,4,1,
11.0,57,,0.5,3,1,
11.0,60,,1.5,1,1,
11.0,65,,1.0,2,1,
11.0,69,,1.0,0,1,
11.5,58,,0.5,3,1,
12.0,48,,1.5,4,1,
12.0,60,,1.0,3,1,
12.0,64,,3.0,2,1,
12.0,67,,3.0,0,1,
12.5,62,,0.5,1,1,
13.0,48,,1.5,3,1,
13.0,64,,0.5,1,1,
13.5,50,,0.5,4,1,
13.5,65,,0.5,1,1,
14.0,52,,0.5,4,1,
14.0,67,,1.0,1,1,
14.5,50,,0.5,3,1,
14.5,53,,0.5,4,1,
15.0,52,,0.5,3,1,
15.0,55,,1.0,4,1,
15.0,64,,1.0,2,1,
15.0,67,,1.0,0,1,
15.5,53,,0.5,3,1,
16.0,43,,1.0,4,1,
16.0,55,,2.0,3,1,
16.0,62,,1.5,2,1,
16.0,70,,1.5,0,1,
17.0,46,,1.5,4,1,
17.0,62,,1.5,1,1,
17.5,60,,0.5,2,1,
17.5,72,,0.5,0,1,
18.0,50,,2.0,3,1,
18.0,58,,1.0,2,1,
18.0,74,,1.0,0,1,
18.5,48,,0.5,4,1,
18.5,64,,0.5,1,1,
19.0,50,,1.0,4,1,
19.0,53,,1.0,2,1,
19.0,65,,1.0,1,1,
19.0,69,,1.0,0,1,
20.0,48,,1.0,4,1,
20.0,52,,0.5,3,1,
20.0,55,,1.0,2,1,
20.0,64,,1.0,1,1,
20.0,72,,1.0,0,1,
20.5,48,,0.5,3,1,
21.0,45,,1.0,4,1,
21.0,57,,1.0,2,1,
21.0,60,,1.0,3,1,
21.0,65,,1.0,0,1,
22.0,46,,1.0,4,1,
22.0,55,,1.0,2,1,
22.0,62,,1.0,3,1,
22.0,67,,1.5,0,1,
23.0,48,,1.0,4,1,
23.0,55,,1.0,2,1,
23.0,60,,1.0,3,1,
