onset,midi_number,morphetic_number,duration,staff_number,measure,type
0.0,69,,2.0,0,1,
0.0,61,,2.0,0,1,
0.0,57,,2.0,0,1,
2.0,71,,0.75,0,1,a
2.0,62,,1.0,0,1,
2.0,52,,1.0,0,1,
2.75,68,,0.25,0,1,a
3.0,69,,0.5,0,1,a
3.0,57,,0.5,0,1,
3.0,61,,0.5,0,1,
3.5,64,,0.5,0,1,
3.5,61,,0.5,0,1,
4.0,63,,0.5,0,1,
4.0,60,,0.5,0,1,
4.5,64,,0.5,0,1,
4.5,61,,0.5,0,1,
5.0,59,,0.5,0,1,
5.0,62,,0.5,0,1,
5.5,61,,0.5,0,1,
5.5,57,,0.5,0,1,
6.0,71,,2.0,0,1,
6.0,56,,2.0,0,1,
6.0,52,,2.0,0,1,
8.0,73,,0.75,0,1,a
8.0,57,,1.0,0,1,
8.0,64,,1.0,0,1,
8.75,69,,0.25,0,1,a
9.0,74,,0.5,0,1,a
9.0,56,,0.5,0,1,
9.0,64,,0.5,0,1,
9.5,62,,0.5,0,1,
9.5,59,,0.5,0,1,
10.0,58,,0.5,0,1,
10.0,61,,0.5,0,1,
10.5,62,,0.5,0,1,
10.5,59,,0.5,0,1,
11.0,61,,0.5,0,1,
11.0,57,,0.5,0,1,
11.5,59,,0.5,0,1,
11.5,56,,0.5,0,1,
12.0,76,,1.5,0,1,a
13.0,69,,1.0,0,1,
13.0,64,,1.0,0,1,
13.0,61,,1.0,0,1,
13.5,78,,0.125,0,1,a
13.625,76,,0.125,0,1,a
13.75,74,,0.125,0,1,a
13.875,73,,0.125,0,1,a
14.0,74,,0.5,0,1,
14.0,68,,1.0,0,1,
14.0,64,,1.0,0,1,
14.0,59,,1.0,0,1,
14.5,74,,0.5,0,1,a
15.0,73,,1.5,0,1,a
16.0,64,,1.0,0,1,
16.0,61,,1.0,0,1,
16.0,57,,1.0,0,1,
16.5,74,,0.125,0,1,a
16.625,73,,0.125,0,1,a
16.75,71,,0.125,0,1,a
16.875,69,,0.125,0,1,a
17.0,68,,0.5,0,1,a
17.0,59,,1.0,0,1,
17.0,52,,1.0,0,1,
17.0,50,,1.0,0,1,
17.5,68,,0.5,0,1,a
18.0,69,,1.5,0,1,a
18.5,49,,0.5,0,1,
19.0,61,,0.5,0,1,
19.5,71,,0.5,0,1,
19.5,68,,0.5,0,1,
19.5,62,,0.5,0,1,
19.5,64,,0.5,0,1,
20.0,73,,0.5,0,1,
20.0,61,,0.5,0,1,
20.0,69,,0.5,0,1,
20.0,64,,0.5,0,1,
20.5,74,,0.5,0,1,
20.5,64,,0.5,0,1,
20.5,71,,0.5,0,1,
20.5,59,,0.5,0,1,
21.0,75,,0.25,0,1,
21.0,73,,0.5,0,1,
21.0,64,,0.5,0,1,
21.0,57,,0.5,0,1,
21.25,76,,0.25,0,1,a
21.5,62,,0.5,0,1,
21.5,78,,0.25,0,1,
21.5,74,,0.25,0,1,a
21.75,74,,0.25,0,1,
21.75,71,,0.25,0,1,
22.0,73,,1.0,0,1,
22.0,69,,1.0,0,1,
22.0,64,,1.0,0,1,
23.0,71,,1.0,0,1,
23.0,52,,1.0,0,1,
23.0,68,,1.0,0,1,
24.0,69,,1.3333334,0,1,a
25.0,57,,1.0,0,1,
25.0,61,,1.0,0,1,
25.333334,64,,0.33333334,0,1,a
25.666666,73,,0.33333334,0,1,a
26.0,74,,0.33333334,0,1,a
26.0,59,,0.5,0,1,
26.0,52,,1.0,0,1,
26.333334,71,,0.33333334,0,1,a
26.5,62,,0.5,0,1,
26.666666,68,,0.33333334,0,1,a
27.0,69,,0.5,0,1,a
27.0,57,,0.5,0,1,
27.0,61,,0.5,0,1,
27.5,64,,0.5,0,1,
27.5,61,,0.5,0,1,
28.0,63,,0.5,0,1,
28.0,60,,0.5,0,1,
28.5,64,,0.5,0,1,
28.5,61,,0.5,0,1,
29.0,62,,0.5,0,1,
29.0,59,,0.5,0,1,
29.5,61,,0.5,0,1,
29.5,57,,0.5,0,1,
30.0,71,,1.3333334,0,1,a
