onset,midi_number,morphetic_number,duration,staff_number,measure,type
-1.0,60,,1.0,0,0,a
0.0,65,,1.0,0,1,a
1.0,68,,1.0,0,1,a
2.0,72,,1.0,0,1,a
3.0,77,,1.0,0,1,a
4.0,80,,1.5,0,2,a
5.0,53,,1.0,1,2,
5.0,56,,1.0,1,2,
5.0,60,,1.0,1,2,
5.5,79,,0.17,0,2,a
5.67,77,,0.17,0,2,a
5.83,76,,0.17,0,2,a
6.0,53,,1.0,1,2,
6.0,56,,1.0,1,2,
6.0,60,,1.0,1,2,
6.0,77,,1.0,0,2,a
7.0,53,,1.0,1,2,
7.0,56,,1.0,1,2,
7.0,60,,1.0,1,2,
8.0,52,,1.0,1,3,
8.0,55,,1.0,1,3,
8.0,58,,1.0,1,3,
8.0,60,,1.0,1,3,
8.0,67,,1.0,0,3,a
9.0,72,,1.0,0,3,a
10.0,76,,1.0,0,3,a
11.0,79,,1.0,0,3,a
12.0,82,,1.5,0,4,a
13.0,52,,1.0,1,4,
13.0,55,,1.0,1,4,
13.0,58,,1.0,1,4,
13.0,60,,1.0,1,4,
13.5,80,,0.17,0,4,a
13.67,79,,0.17,0,4,a
13.83,77,,0.17,0,4,a
14.0,52,,1.0,1,4,
14.0,55,,1.0,1,4,
14.0,58,,1.0,1,4,
14.0,60,,1.0,1,4,
14.0,79,,1.0,0,4,a
15.0,52,,1.0,1,4,
15.0,55,,1.0,1,4,
15.0,58,,1.0,1,4,
15.0,60,,1.0,1,4,
16.0,80,,1.5,0,5,a
17.0,53,,1.0,1,5,
17.0,56,,1.0,1,5,
17.0,60,,1.0,1,5,
17.5,79,,0.17,0,5,a
17.67,77,,0.17,0,5,a
17.83,76,,0.17,0,5,a
18.0,53,,1.0,1,5,
18.0,56,,1.0,1,5,
18.0,60,,1.0,1,5,
18.0,77,,1.0,0,5,a
19.0,53,,1.0,1,5,
19.0,56,,1.0,1,5,
19.0,60,,1.0,1,5,
20.0,82,,1.5,0,6,a
21.0,55,,1.0,1,6,
21.0,58,,1.0,1,6,
21.0,64,,1.0,1,6,
21.5,80,,0.17,0,6,a
21.67,79,,0.17,0,6,a
21.83,77,,0.17,0,6,a
22.0,55,,1.0,1,6,
22.0,58,,1.0,1,6,
22.0,64,,1.0,1,6,
22.0,79,,1.0,0,6,a
23.0,55,,1.0,1,6,
23.0,58,,1.0,1,6,
23.0,64,,1.0,1,6,
24.0,72,,2.0,0,7,a
24.0,77,,2.0,0,7,a
24.0,80,,2.0,0,7,a
24.0,84,,2.0,0,7,a
25.0,56,,1.0,1,7,
25.0,60,,1.0,1,7,
25.0,65,,1.0,1,7,
26.0,82,,0.5,0,7,a
26.5,80,,0.5,0,7,a
27.0,58,,1.0,1,7,
27.0,61,,1.0,1,7,
27.0,67,,1.0,1,7,
27.0,79,,0.5,0,7,a
27.5,77,,0.5,0,7,a
28.0,77,,1.0,0,8,a
29.0,60,,1.0,1,8,
29.0,67,,1.0,1,8,
29.0,76,,1.0,0,8,a
31.0,43,,1.0,1,8,a
32.0,48,,1.0,1,9,a
33.0,51,,1.0,1,9,a
34.0,55,,1.0,1,9,a
35.0,60,,1.0,1,9,a
36.0,63,,1.5,1,10,a
37.5,62,,0.17,1,10,a
37.67,60,,0.17,1,10,a
37.83,59,,0.17,1,10,a
38.0,60,,1.0,1,10,a
39.0,60,,1.0,1,10,a
40.0,60,,4.0,1,11,
40.0,65,,4.0,1,11,
40.0,68,,4.0,0,11,
41.5,75,,0.17,0,11,a
41.67,73,,0.17,0,11,a
41.83,72,,0.17,0,11,a
42.0,73,,1.0,0,11,a
43.0,73,,1.0,0,11,a
44.0,58,,4.0,1,12,
44.0,65,,4.0,1,12,
44.0,68,,1.5,0,12,
44.0,73,,5.5,0,12,
